,german_light_analyzer-bm25-only_disjunction,german_analyzer-bm25-combined_operators,german_light_analyzer-boolean-only_disjunction,german_analyzer-boolean-combined_operators,german_analyzer-bm25-only_disjunction,german_analyzer-boolean-only_disjunction,german_light_analyzer-boolean-combined_operators,german_light_analyzer-bm25-combined_operators
german_analyzer-bm25-combined_operators,0.19342205960333228,,0.19342205960333228,,0.19342205960333228,0.19342205960333228,,
german_light_analyzer-boolean-only_disjunction,,0.19342205960333228,,0.19342205960333228,,,0.19342205960333228,0.19342205960333228
german_analyzer-boolean-combined_operators,0.19342205960333228,,0.19342205960333228,,0.19342205960333228,0.19342205960333228,,
german_analyzer-bm25-only_disjunction,,0.19342205960333228,,0.19342205960333228,,,0.19342205960333228,0.19342205960333228
german_analyzer-boolean-only_disjunction,,0.19342205960333228,,0.19342205960333228,,,0.19342205960333228,0.19342205960333228
german_light_analyzer-boolean-combined_operators,0.19342205960333228,,0.19342205960333228,,0.19342205960333228,0.19342205960333228,,
german_light_analyzer-bm25-combined_operators,0.19342205960333228,,0.19342205960333228,,0.19342205960333228,0.19342205960333228,,
german_light_analyzer-bm25-only_disjunction,,0.19342205960333228,,0.19342205960333228,,,0.19342205960333228,0.19342205960333228
