,german_light_analyzer-bm25-only_disjunction,german_analyzer-bm25-combined_operators,german_light_analyzer-boolean-only_disjunction,german_analyzer-boolean-combined_operators,german_analyzer-bm25-only_disjunction,german_analyzer-boolean-only_disjunction,german_light_analyzer-boolean-combined_operators,german_light_analyzer-bm25-combined_operators
german_analyzer-bm25-combined_operators,,,,,,,,
german_light_analyzer-boolean-only_disjunction,,,,,,,,
german_analyzer-boolean-combined_operators,,,,,,,,
german_analyzer-bm25-only_disjunction,,,,,,,,
german_analyzer-boolean-only_disjunction,,,,,,,,
german_light_analyzer-boolean-combined_operators,,,,,,,,
german_light_analyzer-bm25-combined_operators,,,,,,,,
german_light_analyzer-bm25-only_disjunction,,,,,,,,
